,0
0,Alabama
1,Arizona
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Indiana
9,Kentucky
10,Maryland
11,Massachusetts
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,New Hampshire
17,New Mexico
18,Oklahoma
19,Pennsylvania
20,Rhode Island
21,Tennessee
22,Utah
23,West Virginia
24,Wisconsin
25,Wyoming
